currentWeekPosition,previousWeekPosition,peakPosition,Total Weeks,titleArtist,entryDate,entryPosition,,,Song Title,Artist,
88,NEW,88,1,Out For The Night                                           21 SAVAGE,2019-01-05,88,88,1,Out For The Night, 21 SAVAGE,
89,72,72,7,Good Girl                                                   DUSTIN LYNCH,2018-11-24,93,72,7,Good Girl, DUSTIN LYNCH,
90,73,47,14,No Stylist                                                  FRENCH MONTANA featuring DRAKE,2018-10-06,47,47,14,No Stylist,FRENCH MONTANA featuring DRAKE,
91,89,89,2,Lovely                                                      BILLIE EILISH & KHALID,2018-12-29,89,89,2,Lovely,BILLIE EILISH & KHALID,
92,80,79,8,Ella Quiere Beber                                           ANUEL AA & ROMEO SANTOS,2018-11-17,86,79,8,Ella Quiere Beber, ANUEL AA & ROMEO SANTOS,
93,NEW,93,1,Gun Smoke                                                   21 SAVAGE,2019-01-05,93,93,1,Gun Smoke, 21 SAVAGE,
94,NEW,94,1,Demons And Angels                                           A BOOGIE WIT DA HOODIE featuring JUICE WRLD,2019-01-05,94,94,1,Demons And Angels, A BOOGIE WIT DA HOODIE featuring JUICE WRLD,
95,NEW,95,1,ASMR                                                        21 SAVAGE,2019-01-05,95,95,1,ASMR,21 SAVAGE,
96,78,78,3,Last Shot                                                   KIP MOORE,2018-12-22,87,78,3,Last Shot, KIP MOORE,
97,82,26,10,Fine China                                                  FUTURE & JUICE WRLD,2018-11-03,26,26,10,Fine China,FUTURE & JUICE WRLD,
98,91,91,2,Envy Me                                                     CALBOY,2018-12-29,91,91,2,Envy Me, CALBOY,
99,83,48,13,Lost In Japan                                               SHAWN MENDES x ZEDD,2018-10-13,99,48,13,Lost In Japan, SHAWN MENDES x ZEDD,
100,84,84,3,This Is It                                                  SCOTTY McCREERY,2018-12-22,96,84,3,This Is It,SCOTTY McCREERY,
1,1,1,7,"Thank U, Next                                               ARIANA GRANDE",2018-11-17,1,1,8,"Thank U, Next", ARIANA GRANDE,
2,2,2,11,Without Me                                                  HALSEY,2018-10-20,18,2,12,Without Me,HALSEY,
